checking_hour,hour,day_of_week,date,room,status
6,6:00am,Friday, October 14,257,Available
6,6:15am,Friday, October 14,257,Available
6,6:30am,Friday, October 14,257,Available
6,6:45am,Friday, October 14,257,Available
6,7:00am,Friday, October 14,257,Available
6,7:15am,Friday, October 14,257,Available
6,7:30am,Friday, October 14,257,Available
6,7:45am,Friday, October 14,257,Available
6,8:00am,Friday, October 14,257,Available
6,8:15am,Friday, October 14,257,Available
6,8:30am,Friday, October 14,257,Available
6,8:45am,Friday, October 14,257,Available
6,9:00am,Friday, October 14,257,Available
6,9:15am,Friday, October 14,257,Available
6,9:30am,Friday, October 14,257,Available
6,9:45am,Friday, October 14,257,Available
6,10:00am,Friday, October 14,257,Available
6,10:15am,Friday, October 14,257,Available
6,10:30am,Friday, October 14,257,Available
6,10:45am,Friday, October 14,257,Unavailable
6,11:00am,Friday, October 14,257,Unavailable
6,11:15am,Friday, October 14,257,Unavailable
6,11:30am,Friday, October 14,257,Unavailable
6,11:45am,Friday, October 14,257,Unavailable
6,12:00pm,Friday, October 14,257,Unavailable
6,12:15pm,Friday, October 14,257,Unavailable
6,12:30pm,Friday, October 14,257,Unavailable
6,12:45pm,Friday, October 14,257,Unavailable
6,1:00pm,Friday, October 14,257,Unavailable
6,1:15pm,Friday, October 14,257,Unavailable
6,1:30pm,Friday, October 14,257,Unavailable
6,1:45pm,Friday, October 14,257,Available
6,2:00pm,Friday, October 14,257,Available
6,2:15pm,Friday, October 14,257,Available
6,2:30pm,Friday, October 14,257,Available
6,2:45pm,Friday, October 14,257,Unavailable
6,3:00pm,Friday, October 14,257,Unavailable
6,3:15pm,Friday, October 14,257,Unavailable
6,3:30pm,Friday, October 14,257,Unavailable
6,3:45pm,Friday, October 14,257,Unavailable
6,4:00pm,Friday, October 14,257,Unavailable
6,4:15pm,Friday, October 14,257,Unavailable
6,4:30pm,Friday, October 14,257,Unavailable
6,4:45pm,Friday, October 14,257,Unavailable
6,5:00pm,Friday, October 14,257,Unavailable
6,5:15pm,Friday, October 14,257,Unavailable
6,5:30pm,Friday, October 14,257,Unavailable
6,5:45pm,Friday, October 14,257,Unavailable
6,6:00am,Friday, October 14,258,Available
6,6:15am,Friday, October 14,258,Available
6,6:30am,Friday, October 14,258,Available
6,6:45am,Friday, October 14,258,Available
6,7:00am,Friday, October 14,258,Available
6,7:15am,Friday, October 14,258,Available
6,7:30am,Friday, October 14,258,Available
6,7:45am,Friday, October 14,258,Available
6,8:00am,Friday, October 14,258,Available
6,8:15am,Friday, October 14,258,Available
6,8:30am,Friday, October 14,258,Available
6,8:45am,Friday, October 14,258,Available
6,9:00am,Friday, October 14,258,Available
6,9:15am,Friday, October 14,258,Available
6,9:30am,Friday, October 14,258,Available
6,9:45am,Friday, October 14,258,Available
6,10:00am,Friday, October 14,258,Available
