checking_hour,hour,day_of_week,date,room,status
0,8:30pm,Sunday, October 9,257,Unavailable
0,8:45pm,Sunday, October 9,257,Unavailable
0,9:00pm,Sunday, October 9,257,Unavailable
0,9:15pm,Sunday, October 9,257,Unavailable
0,9:30pm,Sunday, October 9,257,Unavailable
0,9:45pm,Sunday, October 9,257,Unavailable
0,10:00pm,Sunday, October 9,257,Unavailable
0,10:15pm,Sunday, October 9,257,Unavailable
0,10:30pm,Sunday, October 9,257,Unavailable
0,10:45pm,Sunday, October 9,257,Unavailable
0,11:00pm,Sunday, October 9,257,Unavailable
0,11:15pm,Sunday, October 9,257,Unavailable
0,11:30pm,Sunday, October 9,257,Available
0,11:45pm,Sunday, October 9,257,Available
0,8:30pm,Sunday, October 9,258,Unavailable
0,8:45pm,Sunday, October 9,258,Unavailable
0,9:00pm,Sunday, October 9,258,Unavailable
0,9:15pm,Sunday, October 9,258,Unavailable
0,9:30pm,Sunday, October 9,258,Unavailable
0,9:45pm,Sunday, October 9,258,Unavailable
0,10:00pm,Sunday, October 9,258,Unavailable
0,10:15pm,Sunday, October 9,258,Available
0,10:30pm,Sunday, October 9,258,Available
0,10:45pm,Sunday, October 9,258,Available
0,11:00pm,Sunday, October 9,258,Available
0,11:15pm,Sunday, October 9,258,Available
0,11:30pm,Sunday, October 9,258,Available
0,11:45pm,Sunday, October 9,258,Available
0,8:30pm,Sunday, October 9,305,Unavailable
0,8:45pm,Sunday, October 9,305,Unavailable
0,9:00pm,Sunday, October 9,305,Unavailable
0,9:15pm,Sunday, October 9,305,Unavailable
0,9:30pm,Sunday, October 9,305,Unavailable
0,9:45pm,Sunday, October 9,305,Unavailable
0,10:00pm,Sunday, October 9,305,Unavailable
0,10:15pm,Sunday, October 9,305,Unavailable
0,10:30pm,Sunday, October 9,305,Unavailable
0,10:45pm,Sunday, October 9,305,Available
0,11:00pm,Sunday, October 9,305,Available
0,11:15pm,Sunday, October 9,305,Available
0,11:30pm,Sunday, October 9,305,Available
0,11:45pm,Sunday, October 9,305,Available
0,8:30pm,Sunday, October 9,306,Unavailable
0,8:45pm,Sunday, October 9,306,Unavailable
0,9:00pm,Sunday, October 9,306,Unavailable
0,9:15pm,Sunday, October 9,306,Available
0,9:30pm,Sunday, October 9,306,Available
0,9:45pm,Sunday, October 9,306,Available
0,10:00pm,Sunday, October 9,306,Available
0,10:15pm,Sunday, October 9,306,Available
0,10:30pm,Sunday, October 9,306,Available
0,10:45pm,Sunday, October 9,306,Available
0,11:00pm,Sunday, October 9,306,Available
0,11:15pm,Sunday, October 9,306,Available
0,11:30pm,Sunday, October 9,306,Available
0,11:45pm,Sunday, October 9,306,Available
0,8:30pm,Sunday, October 9,356,Available
0,8:45pm,Sunday, October 9,356,Available
0,9:00pm,Sunday, October 9,356,Available
0,9:15pm,Sunday, October 9,356,Available
0,9:30pm,Sunday, October 9,356,Available
0,9:45pm,Sunday, October 9,356,Available
0,10:00pm,Sunday, October 9,356,Available
0,10:15pm,Sunday, October 9,356,Available
0,10:30pm,Sunday, October 9,356,Available
0,10:45pm,Sunday, October 9,356,Available
0,11:00pm,Sunday, October 9,356,Available
0,11:15pm,Sunday, October 9,356,Available
0,11:30pm,Sunday, October 9,356,Available
0,11:45pm,Sunday, October 9,356,Available
0,8:30pm,Sunday, October 9,357,Unavailable
0,8:45pm,Sunday, October 9,357,Unavailable
0,9:00pm,Sunday, October 9,357,Unavailable
0,9:15pm,Sunday, October 9,357,Unavailable
0,9:30pm,Sunday, October 9,357,Unavailable
0,9:45pm,Sunday, October 9,357,Unavailable
0,10:00pm,Sunday, October 9,357,Unavailable
0,10:15pm,Sunday, October 9,357,Unavailable
0,10:30pm,Sunday, October 9,357,Unavailable
0,10:45pm,Sunday, October 9,357,Unavailable
0,11:00pm,Sunday, October 9,357,Unavailable
0,11:15pm,Sunday, October 9,357,Unavailable
0,11:30pm,Sunday, October 9,357,Unavailable
0,11:45pm,Sunday, October 9,357,Unavailable
0,8:30pm,Sunday, October 9,358,Unavailable
0,8:45pm,Sunday, October 9,358,Unavailable
0,9:00pm,Sunday, October 9,358,Unavailable
0,9:15pm,Sunday, October 9,358,Unavailable
0,9:30pm,Sunday, October 9,358,Unavailable
0,9:45pm,Sunday, October 9,358,Unavailable
0,10:00pm,Sunday, October 9,358,Unavailable
0,10:15pm,Sunday, October 9,358,Unavailable
0,10:30pm,Sunday, October 9,358,Unavailable
0,10:45pm,Sunday, October 9,358,Available
0,11:00pm,Sunday, October 9,358,Available
0,11:15pm,Sunday, October 9,358,Available
0,11:30pm,Sunday, October 9,358,Available
0,11:45pm,Sunday, October 9,358,Available
0,8:30pm,Sunday, October 9,436,Unavailable
0,8:45pm,Sunday, October 9,436,Unavailable
0,9:00pm,Sunday, October 9,436,Unavailable
0,9:15pm,Sunday, October 9,436,Unavailable
0,9:30pm,Sunday, October 9,436,Unavailable
0,9:45pm,Sunday, October 9,436,Unavailable
0,10:00pm,Sunday, October 9,436,Unavailable
0,10:15pm,Sunday, October 9,436,Unavailable
0,10:30pm,Sunday, October 9,436,Unavailable
0,10:45pm,Sunday, October 9,436,Unavailable
0,11:00pm,Sunday, October 9,436,Available
0,11:15pm,Sunday, October 9,436,Available
0,11:30pm,Sunday, October 9,436,Available
0,11:45pm,Sunday, October 9,436,Available
0,8:30pm,Sunday, October 9,437,Unavailable
0,8:45pm,Sunday, October 9,437,Unavailable
0,9:00pm,Sunday, October 9,437,Unavailable
0,9:15pm,Sunday, October 9,437,Unavailable
0,9:30pm,Sunday, October 9,437,Unavailable
0,9:45pm,Sunday, October 9,437,Available
0,10:00pm,Sunday, October 9,437,Available
0,10:15pm,Sunday, October 9,437,Available
0,10:30pm,Sunday, October 9,437,Available
0,10:45pm,Sunday, October 9,437,Available
0,11:00pm,Sunday, October 9,437,Available
0,11:15pm,Sunday, October 9,437,Available
0,11:30pm,Sunday, October 9,437,Available
0,11:45pm,Sunday, October 9,437,Available
0,8:30pm,Sunday, October 9,438,Available
0,8:45pm,Sunday, October 9,438,Unavailable
0,9:00pm,Sunday, October 9,438,Unavailable
0,9:15pm,Sunday, October 9,438,Unavailable
0,9:30pm,Sunday, October 9,438,Unavailable
0,9:45pm,Sunday, October 9,438,Unavailable
0,10:00pm,Sunday, October 9,438,Unavailable
0,10:15pm,Sunday, October 9,438,Unavailable
0,10:30pm,Sunday, October 9,438,Unavailable
0,10:45pm,Sunday, October 9,438,Unavailable
0,11:00pm,Sunday, October 9,438,Unavailable
0,11:15pm,Sunday, October 9,438,Unavailable
0,11:30pm,Sunday, October 9,438,Unavailable
0,11:45pm,Sunday, October 9,438,Unavailable
0,8:30pm,Sunday, October 9,440,Unavailable
0,8:45pm,Sunday, October 9,440,Unavailable
0,9:00pm,Sunday, October 9,440,Unavailable
0,9:15pm,Sunday, October 9,440,Unavailable
0,9:30pm,Sunday, October 9,440,Unavailable
0,9:45pm,Sunday, October 9,440,Unavailable
0,10:00pm,Sunday, October 9,440,Available
0,10:15pm,Sunday, October 9,440,Available
0,10:30pm,Sunday, October 9,440,Available
0,10:45pm,Sunday, October 9,440,Available
0,11:00pm,Sunday, October 9,440,Available
0,11:15pm,Sunday, October 9,440,Available
0,11:30pm,Sunday, October 9,440,Available
0,11:45pm,Sunday, October 9,440,Available
0,8:30pm,Sunday, October 9,441,Unavailable
0,8:45pm,Sunday, October 9,441,Unavailable
0,9:00pm,Sunday, October 9,441,Unavailable
0,9:15pm,Sunday, October 9,441,Unavailable
0,9:30pm,Sunday, October 9,441,Unavailable
0,9:45pm,Sunday, October 9,441,Unavailable
0,10:00pm,Sunday, October 9,441,Unavailable
0,10:15pm,Sunday, October 9,441,Unavailable
0,10:30pm,Sunday, October 9,441,Unavailable
0,10:45pm,Sunday, October 9,441,Unavailable
0,11:00pm,Sunday, October 9,441,Unavailable
0,11:15pm,Sunday, October 9,441,Unavailable
0,11:30pm,Sunday, October 9,441,Unavailable
0,11:45pm,Sunday, October 9,441,Unavailable
0,8:30pm,Sunday, October 9,442,Available
0,8:45pm,Sunday, October 9,442,Available
0,9:00pm,Sunday, October 9,442,Available
0,9:15pm,Sunday, October 9,442,Available
0,9:30pm,Sunday, October 9,442,Available
0,9:45pm,Sunday, October 9,442,Available
0,10:00pm,Sunday, October 9,442,Available
0,10:15pm,Sunday, October 9,442,Available
0,10:30pm,Sunday, October 9,442,Available
0,10:45pm,Sunday, October 9,442,Available
0,11:00pm,Sunday, October 9,442,Available
0,11:15pm,Sunday, October 9,442,Available
0,11:30pm,Sunday, October 9,442,Available
0,11:45pm,Sunday, October 9,442,Available
0,8:30pm,Sunday, October 9,514A,Unavailable
0,8:45pm,Sunday, October 9,514A,Available
0,9:00pm,Sunday, October 9,514A,Available
0,9:15pm,Sunday, October 9,514A,Available
0,9:30pm,Sunday, October 9,514A,Available
0,9:45pm,Sunday, October 9,514A,Available
0,10:00pm,Sunday, October 9,514A,Available
0,10:15pm,Sunday, October 9,514A,Available
0,10:30pm,Sunday, October 9,514A,Available
0,10:45pm,Sunday, October 9,514A,Available
0,11:00pm,Sunday, October 9,514A,Available
0,11:15pm,Sunday, October 9,514A,Available
0,11:30pm,Sunday, October 9,514A,Available
0,11:45pm,Sunday, October 9,514A,Available
0,8:30pm,Sunday, October 9,514B,Unavailable
0,8:45pm,Sunday, October 9,514B,Unavailable
0,9:00pm,Sunday, October 9,514B,Unavailable
0,9:15pm,Sunday, October 9,514B,Unavailable
0,9:30pm,Sunday, October 9,514B,Unavailable
0,9:45pm,Sunday, October 9,514B,Unavailable
0,10:00pm,Sunday, October 9,514B,Unavailable
0,10:15pm,Sunday, October 9,514B,Unavailable
0,10:30pm,Sunday, October 9,514B,Available
0,10:45pm,Sunday, October 9,514B,Available
0,11:00pm,Sunday, October 9,514B,Available
0,11:15pm,Sunday, October 9,514B,Available
0,11:30pm,Sunday, October 9,514B,Available
0,11:45pm,Sunday, October 9,514B,Available
0,8:30pm,Sunday, October 9,514C,Unavailable
0,8:45pm,Sunday, October 9,514C,Unavailable
0,9:00pm,Sunday, October 9,514C,Unavailable
0,9:15pm,Sunday, October 9,514C,Unavailable
0,9:30pm,Sunday, October 9,514C,Unavailable
0,9:45pm,Sunday, October 9,514C,Unavailable
0,10:00pm,Sunday, October 9,514C,Unavailable
0,10:15pm,Sunday, October 9,514C,Unavailable
0,10:30pm,Sunday, October 9,514C,Unavailable
0,10:45pm,Sunday, October 9,514C,Unavailable
0,11:00pm,Sunday, October 9,514C,Unavailable
0,11:15pm,Sunday, October 9,514C,Unavailable
0,11:30pm,Sunday, October 9,514C,Unavailable
0,11:45pm,Sunday, October 9,514C,Available
0,8:30pm,Sunday, October 9,514D,Unavailable
0,8:45pm,Sunday, October 9,514D,Unavailable
0,9:00pm,Sunday, October 9,514D,Unavailable
0,9:15pm,Sunday, October 9,514D,Unavailable
0,9:30pm,Sunday, October 9,514D,Unavailable
0,9:45pm,Sunday, October 9,514D,Unavailable
0,10:00pm,Sunday, October 9,514D,Unavailable
0,10:15pm,Sunday, October 9,514D,Unavailable
0,10:30pm,Sunday, October 9,514D,Unavailable
0,10:45pm,Sunday, October 9,514D,Unavailable
0,11:00pm,Sunday, October 9,514D,Unavailable
0,11:15pm,Sunday, October 9,514D,Unavailable
0,11:30pm,Sunday, October 9,514D,Unavailable
0,11:45pm,Sunday, October 9,514D,Unavailable
0,8:30pm,Sunday, October 9,520A,Unavailable
0,8:45pm,Sunday, October 9,520A,Unavailable
0,9:00pm,Sunday, October 9,520A,Unavailable
0,9:15pm,Sunday, October 9,520A,Unavailable
0,9:30pm,Sunday, October 9,520A,Available
0,9:45pm,Sunday, October 9,520A,Available
0,10:00pm,Sunday, October 9,520A,Available
0,10:15pm,Sunday, October 9,520A,Available
0,10:30pm,Sunday, October 9,520A,Available
0,10:45pm,Sunday, October 9,520A,Available
0,11:00pm,Sunday, October 9,520A,Available
0,11:15pm,Sunday, October 9,520A,Available
0,11:30pm,Sunday, October 9,520A,Available
0,11:45pm,Sunday, October 9,520A,Available
0,8:30pm,Sunday, October 9,520B,Available
0,8:45pm,Sunday, October 9,520B,Unavailable
0,9:00pm,Sunday, October 9,520B,Unavailable
0,9:15pm,Sunday, October 9,520B,Unavailable
0,9:30pm,Sunday, October 9,520B,Unavailable
0,9:45pm,Sunday, October 9,520B,Unavailable
0,10:00pm,Sunday, October 9,520B,Unavailable
0,10:15pm,Sunday, October 9,520B,Unavailable
0,10:30pm,Sunday, October 9,520B,Unavailable
0,10:45pm,Sunday, October 9,520B,Unavailable
0,11:00pm,Sunday, October 9,520B,Unavailable
0,11:15pm,Sunday, October 9,520B,Unavailable
0,11:30pm,Sunday, October 9,520B,Unavailable
0,11:45pm,Sunday, October 9,520B,Unavailable
0,8:30pm,Sunday, October 9,520C,Unavailable
0,8:45pm,Sunday, October 9,520C,Unavailable
0,9:00pm,Sunday, October 9,520C,Unavailable
0,9:15pm,Sunday, October 9,520C,Unavailable
0,9:30pm,Sunday, October 9,520C,Available
0,9:45pm,Sunday, October 9,520C,Available
0,10:00pm,Sunday, October 9,520C,Available
0,10:15pm,Sunday, October 9,520C,Available
0,10:30pm,Sunday, October 9,520C,Available
0,10:45pm,Sunday, October 9,520C,Available
0,11:00pm,Sunday, October 9,520C,Available
0,11:15pm,Sunday, October 9,520C,Available
0,11:30pm,Sunday, October 9,520C,Available
0,11:45pm,Sunday, October 9,520C,Available
0,8:30pm,Sunday, October 9,520D,Unavailable
0,8:45pm,Sunday, October 9,520D,Unavailable
0,9:00pm,Sunday, October 9,520D,Unavailable
0,9:15pm,Sunday, October 9,520D,Unavailable
0,9:30pm,Sunday, October 9,520D,Unavailable
0,9:45pm,Sunday, October 9,520D,Available
0,10:00pm,Sunday, October 9,520D,Available
0,10:15pm,Sunday, October 9,520D,Available
0,10:30pm,Sunday, October 9,520D,Available
0,10:45pm,Sunday, October 9,520D,Available
0,11:00pm,Sunday, October 9,520D,Available
0,11:15pm,Sunday, October 9,520D,Available
0,11:30pm,Sunday, October 9,520D,Available
0,11:45pm,Sunday, October 9,520D,Available
