checking_hour,hour,day_of_week,date,room,status
6,12:00,Monday,10-10-2022,436,Unavailable
6,12:15,Monday,10-10-2022,436,Unavailable
6,15:00,Monday,10-10-2022,436,Unavailable
6,11:30,Monday,10-10-2022,436,Unavailable
6,12:30,Monday,10-10-2022,436,Unavailable
6,11:15,Monday,10-10-2022,436,Unavailable
6,11:00,Monday,10-10-2022,436,Unavailable
6,11:45,Monday,10-10-2022,436,Unavailable
6,12:45,Monday,10-10-2022,436,Available
6,14:15,Monday,10-10-2022,436,Available
6,13:15,Monday,10-10-2022,436,Available
6,13:30,Monday,10-10-2022,436,Available
6,13:45,Monday,10-10-2022,436,Available
6,14:00,Monday,10-10-2022,436,Available
6,14:30,Monday,10-10-2022,436,Available
6,15:15,Monday,10-10-2022,436,Unavailable
6,10:45,Monday,10-10-2022,436,Unavailable
6,14:45,Monday,10-10-2022,436,Unavailable
6,13:00,Monday,10-10-2022,436,Available
6,10:30,Monday,10-10-2022,436,Unavailable
6,06:45,Monday,10-10-2022,436,Available
6,10:00,Monday,10-10-2022,436,Unavailable
6,23:00,Monday,10-10-2022,358,Available
6,15:30,Monday,10-10-2022,436,Unavailable
6,22:45,Monday,10-10-2022,358,Available
6,23:15,Monday,10-10-2022,358,Available
6,23:30,Monday,10-10-2022,358,Available
6,23:45,Monday,10-10-2022,358,Available
6,07:00,Monday,10-10-2022,436,Available
6,07:15,Monday,10-10-2022,436,Available
6,10:15,Monday,10-10-2022,436,Unavailable
6,07:30,Monday,10-10-2022,436,Available
6,08:00,Monday,10-10-2022,436,Available
6,08:15,Monday,10-10-2022,436,Available
6,08:30,Monday,10-10-2022,436,Available
6,08:45,Monday,10-10-2022,436,Available
6,09:00,Monday,10-10-2022,436,Available
6,09:15,Monday,10-10-2022,436,Available
6,09:30,Monday,10-10-2022,436,Available
6,09:45,Monday,10-10-2022,436,Available
6,07:45,Monday,10-10-2022,436,Available
6,15:45,Monday,10-10-2022,436,Unavailable
6,07:15,Monday,10-10-2022,437,Available
6,16:15,Monday,10-10-2022,436,Unavailable
6,22:00,Monday,10-10-2022,436,Unavailable
